Altium Designer Pick and Place Locations
G:\03 DMESC\01 PCB\DMESC\Project Outputs for DMESC\Pick Place\Pick Place for PCB1.csv

========================================================================================================================
File Design Information:

Date:       06/09/21
Time:       09:54
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"C8","1uF","TopLayer","C0603","5273.740","1122.366","270","1uF"
"C7","100nF","TopLayer","C0603","5056.220","1258.193","90","贴片电容"
"C6","470nF","TopLayer","C0603","5140.866","1134.169","270","贴片电容"
"C5","470nF","TopLayer","C0603","4808.189","1270.004","90","贴片电容"
"C4","100nF","TopLayer","C0603","4806.220","1136.146","270","贴片电容"
"C3","100nF","TopLayer","C0603","5393.815","1246.378","180","0.1uF"
"C2","1uF","TopLayer","C0603","5392.831","1331.024","180","1uF"
"C1","100nF","BottomLayer","C0603","5421.378","1411.728","90","0.1uF"
"Y1","8M","BottomLayer","3225","5381.024","3692.244","270","Crystal Oscillator"
"U5","LM321","BottomLayer","SOT23-5","4851.496","3650.905","360","单路运放"
"U4","STM32F103C6T6","TopLayer","STM32F103C6T6","5022.756","3527.008","135",""
"U3","UTC78D05","BottomLayer","TO-252","5281.055","3165.354","90","线性稳压"
"U2","UTC78D05","BottomLayer","TO-252","4759.960","3164.685","270","线性稳压"
"U1","ME6212C33M5G","TopLayer","ME6212C33M5G","5394.803","3093.819","90",""
"T4","testpoint","TopLayer","TESTPOINT","5390.866","3688.307","0","测试点用焊盘代替，不需要元器件"
"T3","SS8050","TopLayer","SOT-23","5474.528","4247.362","360","NPN三极管"
"T2","SS8050","TopLayer","SOT-23","4981.417","4242.441","360","NPN三极管"
"T1","SS8050","TopLayer","SOT-23","4648.740","4242.441","360","NPN三极管"
"R40","1M","BottomLayer","R0603","5279.646","3690.276","90","0603"
"R39","4.7K","TopLayer","R0603","4840.669","4245.394","270","Resistor"
"R38","4.7K","TopLayer","R0603","5172.362","4261.142","270","Resistor"
"R37","4.7K","TopLayer","R0603","5273.740","4261.142","270","Resistor"
"R36","4.7K","TopLayer","R0603","5274.724","4101.693","270","Resistor"
"R35","20K","TopLayer","R0603","5352.480","4097.756","270","Resistor"
"R34","51K","BottomLayer","R0603","4853.465","3738.504","360","Resistor"
"R33","100k","TopLayer","R0603","4809.173","3696.181","270","0603"
"R32","4.7K","TopLayer","R0603","5144.803","4074.134","180","Resistor"
"R31","20K","TopLayer","R0603","5143.819","4155.827","360","Resistor"
"R30","1K","BottomLayer","R0603","4705.827","3688.307","360","Resistor"
"R29","4.7K","TopLayer","R0603","4840.669","4113.504","270","Resistor"
"R28","20K","TopLayer","R0603","4767.834","4113.504","270","Resistor"
"R27","1K","BottomLayer","R0603","4704.842","3612.519","360","Resistor"
"R26","51K","BottomLayer","R0603","4704.842","3538.701","180","Resistor"
"R25","0.001R","BottomLayer","2512","4553.268","3626.729","270","11毫欧采样电阻"
"R24","2K","TopLayer","R0603","5479.449","3953.071","180","Resistor"
"R23","100R","TopLayer","R0603","5480.433","3877.283","360","Resistor"
"R22","10K","TopLayer","R0603","5480.433","3801.496","360","Resistor"
"R21","470R","TopLayer","R0603","5446.968","4356.614","180","Resistor"
"R20","1K","TopLayer","R0603","5479.449","4125.315","360","Resistor"
"R19","10K","TopLayer","R0603","5478.465","4065.276","360","Resistor"
"R18","2K","TopLayer","R0603","5019.803","4000.315","180","Resistor"
"R17","100R","TopLayer","R0603","5021.771","3929.449","180","Resistor"
"R16","100K","TopLayer","R0603","4604.449","3216.850","90","Resistor"
"R15","10K","TopLayer","R0603","5019.803","3861.535","180","Resistor"
"R14","4.7K","TopLayer","R0603","4681.220","3348.744","90","Resistor"
"R13","1K","TopLayer","R0603","4983.386","4131.220","180","Resistor"
"R12","100K","TopLayer","R0603","5176.299","3270.984","270","0603"
"R11","100K","TopLayer","R0603","5248.150","3270.000","270","0603"
"R10","430K","TopLayer","R0603","4606.417","3348.740","90","Resistor"
"R9","470R","TopLayer","R0603","5024.724","4356.614","180","Resistor"
"R8","10K","TopLayer","R0603","4982.401","4068.228","180","Resistor"
"R7","2K","TopLayer","R0603","4647.756","3880.236","180","Resistor"
"R6","100R","TopLayer","R0603","4748.150","3839.882","90","Resistor"
"R5","10K","TopLayer","R0603","4647.756","3793.622","180","Resistor"
"R4","1K","TopLayer","R0603","4649.724","4117.441","180","Resistor"
"R3","10K","TopLayer","R0603","4649.724","4042.638","180","Resistor"
"R2","470R","TopLayer","R0603","4621.181","4356.614","180","Resistor"
"    B","510R","TopLayer","R0603","5348.543","3566.260","270","0603"
"Q6","RU3560L","BottomLayer","TO-252","5426.457","4048.504","180","NMOSFET"
"Q5","RU40L10L","BottomLayer","TO-252","5426.457","4575.700","180","PMOSFET"
"Q4","RU3560L","BottomLayer","TO-252","5022.756","4048.504","180","NMOSFET"
"Q3","RU40L10L","BottomLayer","TO-252","5022.756","4575.700","180","PMOSFET"
"Q2","RU3560L","BottomLayer","TO-252","4619.055","4048.504","180","NMOSFET"
"Q1","RU40L10L","BottomLayer","TO-252","4619.055","4575.700","180","PMOSFET"
"P3","PPM","BottomLayer","HDR1X3","5022.876","3377.283","180","Header, 3-Pin"
"P2","SWD","BottomLayer","HDR1X4","5522.756","3518.228","270","Header, 4-Pin"
"P1","USART","TopLayer","HDR1X4","5523.740","3518.228","270","Header, 4-Pin"
"D0","LED","TopLayer","0603LED","5415.472","3590.866","90",""
"C20","20pF","BottomLayer","C0603","5373.154","3582.008","180","0603"
"C16","20pF","BottomLayer","C0603","5390.870","3797.559","180","0603"
"C15","100nF","TopLayer","C0603","4757.008","3526.894","270","0.1uF"
"C14","100nF","TopLayer","C0603","4907.598","3233.587","270","0.1uF"
"C13","100nF","TopLayer","C0603","5279.641","3679.449","360","0.1uF"
"C12","100nF","TopLayer","C0603","5277.673","3760.157","180","0.1uF"
"C11","100nF","TopLayer","C0603","5308.189","3396.964","90","0.1uF"
"C10","100nF","TopLayer","C0603","4682.205","3216.854","90","Capacitor"
"C8","1uF","TopLayer","C0603","5273.740","3090.870","270","1uF"
"C7","100nF","TopLayer","C0603","5056.220","3226.697","90","贴片电容"
"C6","470nF","TopLayer","C0603","5140.866","3102.673","270","贴片电容"
"C5","470nF","TopLayer","C0603","4808.189","3238.508","90","贴片电容"
"C4","100nF","TopLayer","C0603","4806.220","3104.650","270","贴片电容"
"C3","100nF","TopLayer","C0603","5393.815","3214.882","180","0.1uF"
"C2","1uF","TopLayer","C0603","5392.831","3299.527","180","1uF"
"C1","100nF","BottomLayer","C0603","5421.378","3380.232","90","0.1uF"
